section;compact;name;note;price
Válassz köretet!;yes;Kebabtál;;3690
Válassz köretet!;yes;Kebab BOX;;2990
Saláta;yes;Speciál saláta;;2490
Fries;yes;Sült krumpli;;990
Fries;yes;Édesburgonya hasáb;;1490
Fries;yes;Jimmy’s Special Fries;;1450
Pizza;yes;Jimmy's pizza;;4190
Finger Foods;yes;Nuggets;6db;1250
Finger Foods;yes;Chilli cheese nuggets;7db;1250
Desszert;yes;Nutellás palacsinta;;1590
Desszert;yes;Áfonyás palacsinta;;1590
Desszert;yes;Csoki szuflé;;1590
Desszert;yes;Csokis kuglóf;;1590
